Title,Location,No of Bedrooms,No of Bathrooms,Description,Price
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,This Stunning 5-Bedroom Ambassadorial House wit...,"KSh 550,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Charming 5 Bedroom Family Home in a sought-afte...,"KSh 350,000/ month"
6 Bed House with En Suite in Runda,"Runda, Westlands",6,6,Elegant 6-Bedroom Mansion for Rent in Runda.,"KSh 400,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Grand meticulously finished 4 bedroom house in...,"KSh 580,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Elegant 4 Bedroom Townhouse with 2 DSQ for Rent...,"KSh 390,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Stunning 5-bedroom home located in the serene a...,"KSh 400,000/ month"
6 Bed House with En Suite in Runda,"Runda, Westlands",6,6,"World-class sanctuary—a stunning, ambassadorial...","KSh 950,000/ month"
2 Bed House with En Suite in Runda,"Runda, Westlands",2,2,Luxury 2-Bedroom Furnished Guest Wing for Rent...,"KSh 180,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Stunning fully furnished 5-bedroom villa in the...,"KSh 750,000/ month"
2 Bed House in Gigiri,"Gigiri, Westlands",2,,2 Bedroom Cottage for Rent in Gigiri.,"KSh 350,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,4,🌟 Exquisite 4 Bedroom Family Home in the Heart...,"KSh 580,000/ month"
4 Bed Villa with En Suite in Karen,Karen,4,5,STATE OF ART MODERN VILLA IN A GATED COMMUNITY,"KSh 550,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Luxury 4-Bedroom House for Rent at Nascent Prop...,"KSh 500,000/ month"
5 Bed Villa with En Suite at Nyali Mombasa,"Nyali Mombasa, Nyali Area, Nyali",5,5,5 bedroom massionate  for let located Nyali mom...,"KSh 150,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,,5 bedroom townhouse plus dsq located in Lavingt...,"KSh 400,000/ month"
4 Bed Townhouse with En Suite at Nyali,"Nyali, Nyali Area",4,4,4 bedroom massionate for let located Nyali Momb...,"KSh 300,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Elegant Four-Bedroom Furnished Cottage for Rent...,"KSh 450,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Elegant 4-Bedroom House for Rent in Runda,"KSh 390,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Exquisite 5-Bedroom House in a Secure Gated Com...,"KSh 450,000/ month"
5 Bed House with En Suite in Muthaiga,Muthaiga,5,5,Luxurious 5-Bedroom House for Rent in Muthaiga,"KSh 250,000/ month"
4 Bed Townhouse with En Suite in Lavington,"Lavington Nairobi, Lavington",4,4,A 4bdrm townhouse to let in lavington.,"KSh 260,000/ month"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,Comfy & Stylish 4-Bedroom House for Rent in Kit...,"KSh 370,000/ month"
4 Bed Townhouse with En Suite in Spring Valley,"Spring valley Nairobi, Spring Valley, Westlands",4,5,A 4bdrm townhouse to let in spring valley.,"KSh 275,000/ month"
3 Bed House with En Suite in Gigiri,"Gigiri, Westlands",3,3,Charming Three-Bedroom Cottage for Rent in Gigi...,"KSh 323,100/ month"
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",5,5,Stunning 5-Bedroom Bungalow for Rent in Spring...,"KSh 520,000/ month"
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,4,4,AN EXCLUSIVE FOUR BEDROOM VILLA IN A COMMUNAL L...,"KSh 130,000/ month"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5,5,Exquisite 5-Bedroom House for Rent in Kitisuru,"KSh 720,000/ month"
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",5,5,Spacious 5-Bedroom House for Rent in Spring Val...,"KSh 350,000/ month"
5 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",5,5,Elegant 5-Bedroom House for Rent in Rosslyn,"KSh 400,000/ month"
5 Bed House with En Suite in Kyuna,"Kyuna, Westlands",5,5,Stunning 5-Bedroom House for Rent in Kyuna,"KSh 350,000/ month"
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,Luxury Five-Bedroom House for Rent in Lower Kab...,"KSh 1,099,500/ month"
2 Bed House with En Suite in Karen,Karen,2,3,2 BR Rental Houses in Karen,"KSh 85,000/ month"
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,Unwind at this Stunning 4-Bedroom Villa in Kiti...,"KSh 395,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Luxurious Five-Bedroom House for Rent in Runda,"KSh 580,000/ month"
3 Bed House at Peponi,"Peponi, Westlands Area, Westlands",3,2,"3 br  bungalow, Peponi","KSh 200,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Luxurious 5-Bedroom House for Rent in Runda,"KSh 500,000/ month"
4 Bed House with En Suite at Off Runda Grove,"4, Off Runda Grove, Runda, Westlands",4,5,Charming 4- Bedroom stand alone cottage for ren...,"KSh 300,000/ month"
3 Bed Villa with En Suite at Off Ridgeways Rd,"6, Off Ridgeways Rd, Runda, Westlands",3,3,Exclusive 3-Bedroom cottage for rent in Ridgewa...,"KSh 400,000/ month"
4 Bed Townhouse with En Suite in Lavington,Lavington,4,,Modern 4 bedrooms all Ensuite townhouse located...,"KSh 350,000/ month"
5 Bed Townhouse with Staff Quarters in Lavington,Lavington,5,6,Lavington  a modern 5 bedrooms plus dsq all ens...,"KSh 450,000/ month"
5 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",5,5,Rio villas.,"KSh 450,000/ month"
4 Bed House with En Suite in Nyari,"Nyari, Westlands",4,N/A,An elegant House to let,"KSh 400,000/ month"
2 Bed House with En Suite at Glory Road,"Glory road, Runda, Westlands",2,3,"Furnished 2 Bedrooms House in Runda Westlands,...","KSh 195,000/ month"
6 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",6,8,New modern home with a swimming pool,"KSh 600,000/ month"
3 Bed House in Langata,Langata,3,,3 bedroom maisonette in Langata,"KSh 50,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,5,Excellent 4 bedroom house all ensuite with 2bed...,"KSh 350,000/ month"
4 Bed Townhouse with En Suite at Kileleshwa,"20 Kileleshwa, Kileleshwa",4,5,Kileleshwa 4 bedroom townhouse to let,"KSh 250,000/ month"
5 Bed Townhouse with En Suite at Lavington,"21 Lavington, Lavington",5,5,Lavington 5 bedroom townhouse to let,"KSh 180,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4,4,A FOUR BEDROOMS WITH AN DSQ IN RUNDA FOR RENTAL,"KSh 300,000/ month"
4 Bed Townhouse with En Suite at Karen,Karen,4,4,4 bedroom plus DSQ,"KSh 300,000/ month"
5 Bed House with En Suite at Runda,"Runda, Westlands",5,6,"House for sale in Runda, 5 bedroom","KSh 80,000,000/ month"
5 Bed Townhouse with En Suite at Kileleshwa,"kileleshwa, Kileleshwa",5,5,"House to rent in Kileleshwa, 5 bedrooms","KSh 220,000/ month"
5 Bed Villa with En Suite at Runda,"Runda, Westlands",5,6,"House to rent in Runda, 5 bedroom all ensuite","KSh 550,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,4,"House to rent in Runda, 4 bedroom fully furnish...","KSh 4,000/ month"
3 Bed House with En Suite at Old Runda,"old runda, Runda, Westlands",3,3,"House to rent in runda, 3 bedrooms","KSh 150,000/ month"
8 Bed Villa with En Suite at Runda,"Runda, Westlands",8,9,"House for rent in Runda, 8 bedrooms Furnished","KSh 600,000/ month"
4 Bed House in Karen,Karen,4,4,Luxury 4-Bedroom All Ensuite House for Rent in...,"KSh 370,000/ month"
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,Comfy and Elegant Four-Bedroom Villa for Rent i...,"KSh 500,000/ month"
4 Bed Townhouse with En Suite in Lavington,Lavington,4,5,4-Bedroom Corner Home for Rent in Lavington– Ks...,"KSh 350,000/ month"
4 Bed House with En Suite in Loresho,"Loresho, Westlands",4,4,Charming 4-Bedroom Cottage for Rent in Loresho,"KSh 290,000/ month"
5 Bed Townhouse with En Suite at General Mathenge,"General Mathenge, Westlands",5,5,5-Bedroom All En-suite Home in a Gated Communit...,"KSh 325,000/ month"
4 Bed Townhouse with En Suite at Kyuna,"Kyuna, Westlands Area, Westlands",4,4,An exclusive 4 bedrooms Townhouse,"KSh 275,000/ month"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5,5,Charming 5-Bedroom House for Rent in Kitisuru,"KSh 350,000/ month"
2 Bed Townhouse with En Suite in Runda,"Runda, Westlands",2,2,A 2 bedroom  cottage  to let in Runda,"KSh 195,000/ month"
3 Bed House with En Suite at Bonds Garden,"Bonds Garden, Upper Hill",3,2,3 Bedroom Mansionette,"KSh 130,000/ month"
5 Bed Villa with Staff Quarters in Lavington,Lavington,5,5,🏡 Exquisite 5 Bedroom Villa for rent in Laving...,"KSh 250,000/ month"
3 Bed House with En Suite at Milimani,"Olive Shadows Gardens, Milimani, Kitengela",3,2,3 Bedroom bangalow Own compound in Kitengela,"KSh 35,000/ month"
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,Luxurious Five-Bedroom House for Rent in Lower...,"KSh 450,000/ month"
5 Bed House with En Suite at Lavington Mall,"Lavington mall, Lavington",5,5,Modern 5 Bedroom Townhouse for Rent  in lavingt...,"KSh 300,000/ month"
4 Bed Townhouse with Swimming Pool in Kiambu Road,Kiambu Road,4,5,4 Bedroom House for rent along Kiambu Road.,"KSh 230,000/ month"
4 Bed House with En Suite at Near Ga,"Near ga, Karen",4,4,4 Bedroom All Ensuite Villa for Rent in Karen,"KSh 350,000/ month"
4 Bed Townhouse with Swimming Pool at Ridgeways,Ridgeways,4,5,4 Bedroom House available for rent,"KSh 325,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Elegant 4 Bedroom All Ensuite House + 2 Room DS...,"KSh 340,000/ month"
4 Bed House with En Suite at Near Karen Hospital,"Near Karen hospital, Karen",4,4,Modern Luxurious 4 Bedrooms  Plus DSQ House To...,"KSh 550,000/ month"
4 Bed House with Garden at Ruaka Town,"Ruaka town, Ruaka",4,3,4 Bedrooms   House To Let In Ruaka,"KSh 150,000/ month"
3 Bed House with Staff Quarters in Kilimani,Kilimani,3,3,🏡 3-Bedroom Maisonette plus DSQ to let in Kili...,"KSh 100,000/ month"
5 Bed Townhouse with Gym in Lavington,Lavington,5,6,5 Bedroom Town House for Rent,"KSh 350,000/ month"
3 Bed House with En Suite at Limuru Road,"0403n, limuru road, Muthaiga",3,2,3-bedroom house in old muthaiga,"KSh 350,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,6,5 Bedroom Town House,"KSh 300,000/ month"
4 Bed Townhouse with Garden in Lavington,Lavington,4,5,4 Bedroom Town House for Rent,"KSh 350,000/ month"
5 Bed Townhouse with Staff Quarters in Lavington,Lavington,5,,5 Bedroom Town House for Rent,"KSh 300,000/ month"
6 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",6,6,An exclusive 4 bedrooms townhouse,"KSh 650,000/ month"
5 Bed House with En Suite at New Kitisuru,"New Kitisuru, Kitisuru, Westlands",5,6,Welcoming! Kitisuru brand new Five Bedroom Fami...,"KSh 380,000/ month"
2 Bed House with En Suite in Runda,"Runda, Westlands",2,2,2 bedroom house for rent in Runda,"KSh 120,000/ month"
5 Bed House with Staff Quarters at Mountain View Estate,"0403n, mountain view estate, Mountain View, Westlands",5,5,5-bedroom apartment in mountain view,"KSh 140,000/ month"
4 Bed House with En Suite in Ridgeways,Ridgeways,4,4,Impressive 4-bedroom Townhouse for Rent in Gard...,"KSh 280,000/ month"
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,4,4,Modern 4 Bedroom Townhouse for rent in Ridgeway...,"KSh 350,000/ month"
4 Bed Townhouse with En Suite at Fourways,"Fourways, Kiambu Road",4,3,Well Built and Maintained 4 Bedroom Townhouse f...,"KSh 180,000/ month"
5 Bed House with En Suite at Runda,"runda, Runda, Westlands",5,6,Charming 5 Bedroom Family Home in a Gated commu...,"KSh 500,000/ month"
3 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,3,3,VIBRANT MODERN LOOK! BRAND NEW HOUSES TO LET IN...,"KSh 200,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,Fully Furnished 4 Bedroom Townhouse for rent in...,"KSh 250,000/ month"
5 Bed House with En Suite at Mushroom Gardens,"Mushroom Gardens, Kiambu Road",5,5,Beautiful Five Bedroom House for rent in a Gate...,"KSh 300,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,3,A four bedroom furnished house for rent in a ga...,"KSh 250,000/ month"
4 Bed House with En Suite at Njathaini,"Njathaini, Kiambu Road",4,4,Modern New 4 Bedroom House for rent in a Gated...,"KSh 300,000/ month"
5 Bed House with En Suite at Kitisuru,"kitisuru, Kitisuru, Westlands",5,6,ULTIMATE PRIVACY! KITISURU 5 BEDROOM VILLA IN A...,"KSh 500,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,Serene 4 Bedroom Townhouse For Sale in Kiambu R...,"KSh 270,000/ month"
4 Bed Townhouse with En Suite at Lavington,Lavington,4,4,4 bedroom plus DSQ,"KSh 300,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,Elegant Four Bedroom House for Rent in a Gated...,"KSh 250,000/ month"
4 Bed Townhouse with En Suite at Brookside,"0403n, Brookside, Westlands",4,4,4-bedroom townhouse in brookside,"KSh 270,000/ month"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4,4,Amazing Views 4 Bedroom Semi-Detached House for...,"KSh 200,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,Modernly built 4 bedroom home is available for...,"KSh 330,000/ month"
5 Bed House with En Suite in Kiambu Road,Kiambu Road,5,5,Exquisite 5-bedroom villa nestled in the presti...,"KSh 325,000/ month"
3 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,3,3,Exclusive Fully Furnished 3 bedroom Mediterrane...,"KSh 260,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,These exclusive 3 and 4 bedroom Mediterranean s...,"KSh 220,000/ month"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5,5,Charming Five Bedroom Townhouse with DSQ for Re...,"KSh 300,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,2,This townhouse is a residence that exudes comfo...,"KSh 150,000/ month"
5 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,5,4,This townhouse is a residence that exudes comfo...,"KSh 180,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,Secure neighborhood and clean estate offering g...,"KSh 180,000/ month"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,Elegant 4-Bedroom House for Rent in Kitisuru,"KSh 260,000/ month"
4 Bed House with En Suite at Westland,"WESTLAND, Loresho, Westlands",4,3,4-Bedroom Bungalow on Loresho,"KSh 250,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,5 bedroom house for rent in Runda,"KSh 320,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4,5,4-Bedroom All En-Suite Home for Rent in Old Run...,"KSh 351,000/ month"
1 Bed House with En Suite in Loresho,"Loresho, Westlands",1,1,Cozy One-Bedroom House for Rent in Loresho,"KSh 90,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4,4,4 bedroom townhouse to rent in runda,"KSh 350,000/ month"
3 Bed House with En Suite at Kimunyu,"Kimunyu, Kenyatta Road",3,2,Beautiful 3 bedrooms bungalow available toblet...,"KSh 35,000/ month"
4 Bed House with En Suite at Near Croton Ridge Estate,"Near Croton Ridge Estate, Kenyatta Road",4,3,Beautiful 4 bedrooms bungalow available to let...,"KSh 65,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Spacious Four-Bedroom House with Outdoor Gazebo...,"KSh 340,000/ month"
3 Bed House with En Suite at Acacia Estate,"Acacia Estate, Kitengela",3,4,3 BEDROOM BUNGALOW ENSUITE PLUS DSQ FOR RENT IN...,"KSh 40,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,House for rent in Runda,"KSh 350,000/ month"
5 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",5,5,Elegant Five-Bedroom Townhouse in Kyuna,"KSh 350,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4,4,Standalone 4-Bedroom Home for Rent in Runda – K...,"KSh 300,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Spacious 4 bedroom house for rent in Runda,"KSh 300,000/ month"
4 Bed House with Staff Quarters at Runda,"Runda, Westlands",4,3,Charming Standalone 4 Bedroom Bungalow for Rent...,"KSh 300,000/ month"
3 Bed House with En Suite in Nyari,"Nyari, Westlands",3,3,Elegant Three-Bedroom Home for Rent in Nyari,"KSh 300,000/ month"
3 Bed House with En Suite at Birthday Road,"Birthday Road, Tigoni, Limuru",3,2,Stunning Rustic 3-Bedroom Home with Spacious Ga...,"KSh 160,000/ month"
3 Bed House with En Suite at Tigoni,"Tigoni, Limuru",3,3,"3br Bungalow, Tigoni","KSh 250,000/ month"
4 Bed Townhouse with En Suite at Garden Estate,"Garden Estate, Ridgeways",4,4,"4br Townhouse, Ridgeways","KSh 300,000/ month"
3 Bed Townhouse with Swimming Pool at Ineza,"Ineza, Runda, Westlands",3,2,"3br Townhouse, Runda","KSh 215,000/ month"
5 Bed Townhouse with En Suite at Runda,"Runda, Westlands",5,6,Executive 5 bedroom+dsq to let in Runda,"KSh 550,000/ month"
5 Bed Townhouse with En Suite at Lavington,Lavington,5,5,Spacious 5 bedroom+dsq to let in lavington,"KSh 300,000/ month"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",5,5,LUXURIOUS 5&6 BEDROOMS MANSIONS IN A GATED COMM...,"KSh 550,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,6,A LUXURIOUS FIVE BEDROOM MANSION IN RUNDA,"KSh 500,000/ month"
4 Bed Townhouse with Staff Quarters at Garden Estate,"Garden Estate, Roysambu",4,5,4 Bedroom townhouse for rent in Garden Estate,"KSh 290,000/ month"
4 Bed House with En Suite at Kerarapon,"Kerarapon, Karen",4,3,Impressive secure and furnished 4 bedrooms doub...,"KSh 300,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Modern 5-Bedroom All Ensuite Mansion with DSQ f...,"KSh 650,000/ month"
3 Bed Townhouse with Swimming Pool at Fivestar Paradise,"Fivestar Paradise, Kiambu Road",3,4,Newly built 3 bedroom villa available for rent,"KSh 270,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,"Kiambu Rd Nairobi, Kiambu Road",4,4,A 4bdrm townhouse to let in kiambu rd.,"KSh 285,000/ month"
5 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",5,5,AN EXECUTIVE 5BEDROOM DOUBLE STOREY FOR RENT IN...,"KSh 600,000/ month"
5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",5,5,AN EXECUTIVE TOWN HOUSE 5BEDROOM FOR RENT IN LO...,"KSh 850,000/ month"
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,4,4,4 bedrooms Town house for rent ridgeway,"KSh 300,000/ month"
1 Bed House with En Suite at Karen,"karen, Karen",1,1,A lovely one bedroom fully furnished cottage,"KSh 120,000/ month"
3 Bed House with En Suite at Kitengela,Kitengela,3,3,3 Bedroom Maisonettes to Let at Kitengela for K...,"KSh 45,000/ month"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4,4,The property is  Nestled in serene suburb of sp...,"KSh 520,000/ month"
4 Bed House with En Suite in Lavington,Lavington,4,4,Elegant and Spacious Four-Bedroom House for Ren...,"KSh 330,000/ month"
3 Bed House with En Suite at Old Muthaiga Nairobi City,"0402J, Old Muthaiga Nairobi City, Muthaiga",3,3,3 bedroom Bungalow in Prestigious Old Muthaiga...,"KSh 350,000/ month"
5 Bed House with En Suite at Loresho,"Loresho, Westlands",5,5,Discover Unmatched Elegance: 5-Bedroom Luxury S...,"KSh 580,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,5,Modern 4-Bedroom Townhouse to Let on Kiambu Rd,"KSh 390,000/ month"
2 Bed Townhouse with En Suite in Karen,Karen,2,2,Luxurious Newly Built 2 Bedrooms Cottage,"KSh 300,000/ month"
4 Bed House with En Suite in Lavington,Lavington,4,4,Comfy and Stylish Four-Bedroom House for Rent i...,"KSh 350,000/ month"
4 Bed Townhouse with En Suite in Lavington,Lavington,4,5,4 Bedrooms Townhouse For Rent in Lavington in a...,"KSh 310,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,5,A LUXURIOUS FOUR BEDROOM TOWNHOUSE OFF KIAMBU R...,"KSh 230,000/ month"
3 Bed Townhouse with En Suite at Ridgeways,Ridgeways,3,3,"3br Townhouse, Ridgeways","KSh 200,000/ month"
4 Bed Townhouse with En Suite at Paradise Lost,"Paradise Lost, Runda, Westlands",4,4,"4br Townhouse, Paradise Lost","KSh 325,000/ month"
3 Bed House with En Suite at Acacia,"Acacia, Kitengela",3,3,𝐄𝐱𝐪𝐮𝐢𝐬𝐢𝐭𝐞 𝟑 𝐁𝐞𝐝𝐫𝐨𝐨𝐦 𝐁𝐮𝐧𝐠𝐚𝐥𝐨𝐰 𝐅𝐨𝐫 𝐒𝐚𝐥𝐞 𝐢𝐧 𝐊𝐢𝐭𝐞𝐧𝐠...,"KSh 45,000/ month"
3 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",3,3,TO LET: Beautiful 3-Bedroom Cottage in Spring V...,"KSh 200,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,A Spacious 5 Bedrooms Townhouse For Rent in Lav...,"KSh 300,000/ month"
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,4,4,A SUPERB FOUR BEDROOM VILLA IN A COMMUNAL LIVIN...,"KSh 300,000/ month"
